CLAVE_ENT,NOM_ENT,MUN,ANIO,POBLACION
9,Ciudad de Mexico,Azcapotzalco,2015,417668
9,Ciudad de Mexico,Benito Juarez,2015,414761
9,Ciudad de Mexico,Coyoacan,2015,632512
9,Ciudad de Mexico,Cuajimalpa de Morelos,2015,194851
9,Ciudad de Mexico,Cuauhtemoc,2015,543644
9,Ciudad de Mexico,Gustavo A. Madero,2015,1198629
9,Ciudad de Mexico,Iztacalco,2015,397816
9,Ciudad de Mexico,Iztapalapa,2015,1848954
9,Ciudad de Mexico,La Magdalena Contreras,2015,244785
9,Ciudad de Mexico,Miguel Hidalgo,2015,374779
9,Ciudad de Mexico,Milpa Alta,2015,135272
9,Ciudad de Mexico,Tlalpan,2015,673919
9,Ciudad de Mexico,Tlahuac,2015,366674
9,Ciudad de Mexico,Venustiano Carranza,2015,440592
9,Ciudad de Mexico,Xochimilco,2015,421693
9,Ciudad de Mexico,Alvaro Obregon,2015,752185
